gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalServices,Recency_score,Frequency_score,Monetary_score,treatment,contract_score,tenure_norm,charge_norm,persuadability,churn_observed,persuadability_bin
Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,78.2,1468.75,0,2,3,2,3,0,1.0,0.75,0.6585263157894737,0.8567052631578947,0,High
Male,0,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,2607.6,0,3,2,3,4,1,1.0,0.5972222222222222,0.7932631578947369,0.8378192982456141,0,High
Female,0,No,No,16,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.45,1422.1,1,2,3,2,3,1,1.0,0.7777777777777778,0.744842105263158,0.882301754385965,0,High
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.85,69.85,1,0,5,0,3,0,1.0,0.9861111111111112,0.5882105263157894,0.9134754385964913,0,High
Male,0,No,No,12,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),81.7,858.6,1,2,4,2,3,1,1.0,0.8333333333333334,0.6880000000000001,0.8876000000000001,1,High
Male,0,No,No,31,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,50.05,1523.4,0,3,2,3,2,0,0.3,0.5694444444444444,0.4214736842105263,0.40512807017543856,0,Medium
Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.9,324.3,1,1,5,1,3,0,1.0,0.9444444444444444,0.6728421052631579,0.9179017543859649,1,High
Female,0,Yes,No,48,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,69.55,3435.6,0,3,2,3,3,0,0.3,0.33333333333333337,0.5856842105263158,0.36713684210526315,0,Low
Female,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),25.4,399.6,1,0,3,0,1,1,1.0,0.7916666666666666,0.21389473684210525,0.7802789473684211,0,Medium
Male,0,No,No,50,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),90.1,4549.45,0,4,1,4,4,1,0.3,0.3055555555555556,0.7587368421052632,0.3934140350877193,0,Medium
Male,0,No,No,7,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.65,322.5,0,0,4,0,2,1,1.0,0.9027777777777778,0.376,0.8460333333333333,0,High
Male,1,Yes,No,41,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.75,3273.55,1,2,2,2,3,1,1.0,0.4305555555555556,0.7052631578947368,0.770219298245614,0,Medium
Male,0,Yes,Yes,68,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),80.35,5375.15,0,2,1,2,3,0,0.0,0.05555555555555558,0.6766315789473684,0.15199298245614035,0,Low
Female,1,Yes,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.1,2510.7,0,3,2,3,4,0,1.0,0.6388888888888888,0.8261052631578947,0.8568877192982456,0,High
Male,0,No,No,57,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),53.35,3090.05,0,4,1,4,2,1,0.0,0.20833333333333337,0.44926315789473686,0.1523526315789474,0,Low
Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.55,61.05,0,0,5,0,1,0,1.0,0.9583333333333334,0.16463157894736843,0.8204263157894737,0,Medium
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.9,20.9,1,0,5,0,1,0,1.0,0.9861111111111112,0.176,0.8310333333333334,0,High
Male,0,Yes,Yes,19,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),48.95,955.6,0,1,3,1,2,0,0.3,0.7361111111111112,0.41221052631578947,0.4532754385964912,0,Medium
Female,0,No,No,3,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,54.2,140.4,0,1,5,1,2,1,1.0,0.9583333333333334,0.45642105263157895,0.8787842105263157,0,High
Female,0,No,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,24.45,1493.1,0,0,1,0,1,1,0.0,0.18055555555555558,0.20589473684210527,0.09534561403508773,0,Low
Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.4,69.4,1,0,5,0,3,0,1.0,0.9861111111111112,0.584421052631579,0.9127175438596492,1,High
Male,0,Yes,No,42,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),40.15,1626.05,0,2,2,2,2,0,1.0,0.41666666666666663,0.33810526315789474,0.6926210526315789,0,Medium
Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,541.15,1,0,4,0,3,1,1.0,0.9027777777777778,0.6307368421052632,0.8969807017543859,0,High
Male,0,Yes,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.6,1784.9,0,0,1,0,1,1,0.0,0.06944444444444442,0.21557894736842106,0.06394912280701755,0,Low
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,70.35,0,0,5,0,3,0,1.0,0.9861111111111112,0.5924210526315788,0.9143175438596491,0,High
Male,0,Yes,No,66,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),91.7,6075.9,0,6,1,6,4,1,0.0,0.08333333333333337,0.7722105263157895,0.17944210526315793,0,Low
Female,0,No,No,61,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,89.2,5500.6,0,2,1,2,3,0,1.0,0.1527777777777778,0.7511578947368421,0.6960649122807019,0,Medium
Male,0,Yes,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),24.1,73.1,0,0,5,0,1,0,0.3,0.9444444444444444,0.20294736842105265,0.47392280701754386,1,Medium
Female,1,Yes,No,42,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.15,3229.4,1,1,2,1,3,1,1.0,0.41666666666666663,0.624421052631579,0.7498842105263158,1,Medium
Female,0,Yes,Yes,64,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),53.85,3399.85,0,1,1,1,2,1,0.3,0.11111111111111116,0.4534736842105263,0.2740280701754386,0,Low
Female,1,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),115.6,6431.05,0,6,1,6,4,0,0.3,0.25,0.9734736842105263,0.41969473684210523,0,Medium
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.75,19.75,0,0,5,0,1,1,1.0,0.9861111111111112,0.16631578947368422,0.8290964912280703,0,High
Male,0,Yes,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.05,1230.9,0,0,1,0,1,1,0.0,0.25,0.2025263157894737,0.11550526315789474,0,Low
Female,0,No,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.3,454.65,0,0,3,0,1,1,0.0,0.75,0.21305263157894738,0.26761052631578947,0,Low
Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,84.3,235.05,0,2,5,2,3,1,1.0,0.9583333333333334,0.7098947368421052,0.9294789473684211,0,High
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.1,70.1,1,0,5,0,3,1,1.0,0.9861111111111112,0.5903157894736841,0.9138964912280703,0,High
Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.75,6595.9,0,6,1,6,3,0,0.0,0.0,0.7557894736842106,0.15115789473684213,0,Low
Male,1,Yes,No,60,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,97.95,5867.0,0,4,1,4,4,0,0.3,0.16666666666666663,0.8248421052631579,0.3649684210526316,0,Low
Female,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.0,196.35,0,0,4,0,1,0,0.3,0.8472222222222222,0.16842105263157894,0.43785087719298244,0,Medium
Female,0,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.3,909.25,1,1,4,1,3,0,1.0,0.8333333333333334,0.6593684210526316,0.8818736842105264,0,High
Male,0,Yes,Yes,61,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),103.9,6449.15,0,5,1,5,4,1,0.3,0.1527777777777778,0.8749473684210527,0.3708228070175439,0,Low
Female,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.7,762.45,0,0,2,0,1,1,0.0,0.45833333333333337,0.1743157894736842,0.17236315789473686,0,Low
Male,0,No,No,55,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.8,5283.95,1,2,1,2,4,0,1.0,0.23611111111111116,0.8151578947368421,0.7338649122807017,1,Medium
Female,0,No,No,17,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.4,1617.5,1,3,3,3,4,0,1.0,0.7638888888888888,0.7949473684210526,0.8881561403508772,1,High
Male,0,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.15,785.75,0,0,2,0,1,0,0.3,0.48611111111111116,0.16968421052631577,0.3297701754385965,1,Low
Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.0,1776.0,0,0,1,0,1,0,0.0,0.0,0.21894736842105264,0.04378947368421053,0,Low
Male,1,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),77.35,5396.25,0,4,1,4,3,1,0.0,0.0,0.6513684210526315,0.1302736842105263,1,Low
Female,0,No,No,8,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),66.05,574.5,0,3,4,3,3,0,1.0,0.8888888888888888,0.5562105263157895,0.8779087719298245,0,High
Female,0,Yes,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.9,400.3,0,0,3,0,1,1,1.0,0.6944444444444444,0.16757894736842105,0.7418491228070174,0,Medium
Female,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,84.3,84.3,1,2,5,2,3,1,1.0,0.9861111111111112,0.7098947368421052,0.9378122807017545,0,High
Female,0,No,No,38,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),68.15,2656.3,0,3,2,3,3,0,1.0,0.4722222222222222,0.5738947368421053,0.7564456140350877,0,Medium
Male,0,No,Yes,17,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,80.85,1445.95,0,5,3,5,3,0,0.3,0.7638888888888888,0.6808421052631578,0.5153350877192983,0,Medium
Female,1,No,No,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),75.5,5212.65,0,4,1,4,3,0,0.0,0.02777777777777779,0.6357894736842106,0.13549122807017544,0,Low
Female,1,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),92.45,6440.25,1,6,1,6,4,1,0.0,0.0,0.7785263157894737,0.15570526315789476,0,Low
Female,0,No,No,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.6,2244.95,0,1,2,1,3,1,1.0,0.6111111111111112,0.6787368421052631,0.819080701754386,0,Medium
Female,0,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.2,1130.0,0,2,3,2,3,0,1.0,0.7916666666666666,0.7006315789473685,0.8776263157894737,0,High
Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),87.55,6463.15,0,6,1,6,3,1,0.0,0.0,0.7372631578947368,0.14745263157894736,0,Low
Female,1,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.55,1131.2,1,3,4,3,4,1,1.0,0.8472222222222222,0.8383157894736842,0.9218298245614035,1,High
Male,1,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,81.25,585.95,1,1,4,1,3,0,1.0,0.8888888888888888,0.6842105263157895,0.9035087719298245,1,High
Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.4,6252.7,0,5,1,5,4,0,0.3,0.20833333333333337,0.9212631578947369,0.3967526315789474,1,Medium
Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.95,19.95,1,0,5,0,1,1,1.0,0.9861111111111112,0.16799999999999998,0.8294333333333334,1,High
Female,0,Yes,No,46,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,45.55,2062.15,0,3,2,3,2,1,1.0,0.36111111111111116,0.383578947368421,0.6850491228070176,0,Medium
Male,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.7,587.1,0,0,2,0,1,1,0.3,0.5833333333333333,0.1743157894736842,0.3598631578947368,0,Low
Male,1,Yes,No,10,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,75.3,720.45,0,1,4,1,3,1,1.0,0.8611111111111112,0.6341052631578947,0.8851543859649122,0,High
Male,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,99.25,2186.4,1,4,3,4,4,1,1.0,0.6805555555555556,0.8357894736842105,0.8713245614035088,1,High
Male,0,No,No,32,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),93.4,2979.3,0,4,2,4,4,0,1.0,0.5555555555555556,0.7865263157894737,0.8239719298245614,0,Medium
Male,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.75,956.65,0,1,3,1,3,1,1.0,0.8194444444444444,0.6210526315789474,0.8700438596491229,0,High
Female,0,No,No,39,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,80.45,3201.55,1,2,2,2,3,1,0.0,0.45833333333333337,0.6774736842105263,0.2729947368421053,1,Low
Female,0,No,No,44,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),88.15,3973.2,0,3,2,3,3,1,1.0,0.38888888888888884,0.7423157894736843,0.7651298245614035,0,Medium
Male,1,No,No,9,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.2,447.9,0,1,4,1,2,0,1.0,0.875,0.41431578947368425,0.8453631578947368,0,High
Female,0,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.65,1335.2,0,0,1,0,1,0,0.0,0.06944444444444442,0.1654736842105263,0.05392807017543859,0,Low
Male,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.35,661.25,1,1,4,1,3,0,1.0,0.875,0.6682105263157895,0.8961421052631579,0,High
Female,0,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.75,1111.85,1,1,3,1,3,0,1.0,0.7916666666666666,0.671578947368421,0.8718157894736842,1,High
Female,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.15,7555.0,0,4,1,4,4,0,0.0,0.01388888888888884,0.8854736842105264,0.18126140350877196,0,Low
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),49.0,49.0,0,1,5,1,2,1,1.0,0.9861111111111112,0.4126315789473684,0.8783596491228071,0,High
Female,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.05,3046.15,1,3,2,3,4,1,1.0,0.5833333333333333,0.8425263157894737,0.8435052631578946,0,High
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.35,69.35,1,0,5,0,3,0,1.0,0.9861111111111112,0.584,0.9126333333333334,0,High
Male,0,Yes,No,17,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,49.8,836.35,0,3,3,3,2,1,1.0,0.7638888888888888,0.41936842105263156,0.813040350877193,0,Medium
Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,85.8,272.2,1,2,5,2,3,0,1.0,0.9583333333333334,0.7225263157894737,0.9320052631578948,1,High
Male,0,Yes,Yes,67,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,79.7,5293.4,1,4,1,4,3,0,0.0,0.06944444444444442,0.6711578947368422,0.15506491228070177,0,Low
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.95,20.95,0,0,5,0,1,0,1.0,0.9861111111111112,0.17642105263157895,0.8311175438596492,0,High
Female,1,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,50.55,50.55,1,0,5,0,2,1,1.0,0.9861111111111112,0.4256842105263158,0.8809701754385966,0,High
Female,1,Yes,No,32,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,79.3,2570.0,0,1,2,1,3,0,1.0,0.5555555555555556,0.6677894736842105,0.8002245614035087,0,Medium
Male,0,Yes,Yes,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.5,798.2,0,0,2,0,1,0,0.3,0.4305555555555556,0.16421052631578947,0.31200877192982457,0,Low
Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.55,80.55,1,1,5,1,3,0,1.0,0.9861111111111112,0.6783157894736842,0.9314964912280702,1,High
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),44.15,44.15,0,0,5,0,2,1,1.0,0.9861111111111112,0.3717894736842105,0.8701912280701755,0,High
Female,0,Yes,Yes,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,84.5,916.9,1,2,4,2,3,0,1.0,0.8333333333333334,0.7115789473684211,0.8923157894736842,1,High
Male,0,Yes,Yes,62,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,6487.2,0,4,1,4,4,1,1.0,0.13888888888888884,0.888421052631579,0.7193508771929824,0,Medium
Female,0,No,No,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.3,1855.65,1,2,3,2,3,1,1.0,0.6944444444444444,0.7098947368421052,0.8503122807017544,0,High
Female,0,No,Yes,17,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),92.7,1556.85,0,3,3,3,4,1,1.0,0.7638888888888888,0.7806315789473685,0.8852929824561403,0,High
Female,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),26.25,1988.05,0,0,1,0,1,1,0.0,0.0,0.22105263157894736,0.04421052631578948,0,Low
Male,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),96.95,5432.2,0,3,1,3,4,0,1.0,0.2222222222222222,0.8164210526315789,0.7299508771929825,1,Medium
Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.45,147.55,0,0,4,0,1,0,1.0,0.875,0.17221052631578948,0.7969421052631579,0,Medium
Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),115.8,8424.9,0,6,1,6,4,1,0.0,0.0,0.9751578947368421,0.19503157894736844,0,Low
Male,0,No,No,20,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),108.2,2203.7,0,6,3,6,4,0,1.0,0.7222222222222222,0.9111578947368422,0.8988982456140351,0,High
Male,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.2,387.4,0,0,3,0,1,1,0.0,0.7361111111111112,0.17010526315789473,0.2548543859649123,0,Low
Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,67.75,116.65,1,0,5,0,3,1,1.0,0.9722222222222222,0.5705263157894737,0.9057719298245613,0,High
Male,0,No,No,53,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),54.9,3045.75,0,4,1,4,2,1,0.3,0.26388888888888884,0.4623157894736842,0.3216298245614035,0,Low
Female,1,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.25,2287.25,1,1,2,1,3,1,1.0,0.625,0.7178947368421053,0.831078947368421,0,High
Male,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.15,130.5,0,0,5,0,1,1,1.0,0.9166666666666666,0.16968421052631577,0.8089368421052631,0,Medium
Male,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,90.35,767.9,0,2,4,2,4,1,0.3,0.875,0.7608421052631579,0.5646684210526316,0,Medium
Female,0,Yes,Yes,8,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,55.75,446.8,0,1,4,1,2,0,1.0,0.8888888888888888,0.4694736842105263,0.8605614035087719,0,High
Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),114.6,8100.25,0,6,1,6,4,1,0.0,0.01388888888888884,0.9650526315789473,0.19717719298245612,0,Low
Female,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.05,830.7,1,1,4,1,3,0,1.0,0.8611111111111112,0.6741052631578948,0.8931543859649123,1,High
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.0,20.0,1,0,5,0,1,0,1.0,0.9861111111111112,0.16842105263157894,0.8295175438596492,1,High
Female,0,Yes,No,71,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),66.8,4689.15,0,6,1,6,3,1,0.3,0.01388888888888884,0.5625263157894737,0.2666719298245614,0,Low
Male,0,Yes,No,68,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,100.3,6754.35,0,4,1,4,4,0,0.3,0.05555555555555558,0.8446315789473684,0.33559298245614033,0,Low
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.35,3540.65,0,4,2,4,4,0,1.0,0.5277777777777778,0.887157894736842,0.8357649122807017,1,High
Male,0,No,No,26,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,85.2,2184.6,0,3,2,3,3,0,0.3,0.6388888888888888,0.7174736842105264,0.48516140350877196,0,Medium
Female,0,No,No,22,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),48.8,1054.6,1,1,3,1,2,1,1.0,0.6944444444444444,0.4109473684210526,0.7905228070175438,1,Medium
Male,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.95,130.55,0,0,4,0,1,1,1.0,0.9027777777777778,0.15957894736842104,0.8027491228070175,0,Medium
Female,0,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.8,1540.35,0,0,3,0,3,1,1.0,0.7222222222222222,0.5877894736842105,0.8342245614035088,0,High
Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.15,6411.25,0,4,1,4,4,0,1.0,0.16666666666666663,0.8938947368421053,0.7287789473684211,0,Medium
Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,20.55,1432.55,0,0,1,0,1,1,0.0,0.0,0.17305263157894737,0.034610526315789474,0,Low
Female,1,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),105.75,7629.85,0,4,1,4,4,1,0.3,0.0,0.8905263157894737,0.3281052631578948,0,Low
Male,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.25,101.9,0,0,5,0,1,0,1.0,0.9444444444444444,0.21263157894736842,0.825859649122807,1,Medium
Male,0,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.75,313.4,0,0,3,0,1,0,1.0,0.7777777777777778,0.16631578947368422,0.7665964912280703,0,Medium
Female,1,Yes,No,62,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.85,6312.9,0,4,1,4,4,0,0.3,0.13888888888888884,0.8829473684210526,0.36825614035087717,0,Low
